city,city_key,latitude,longitude,region_type,state,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,surface_pressure_mean,shortwave_radiation_sum,et0_fao_evapotranspiration
Ahmedabad,ahmedabad,23.0225,72.5714,plains,Gujarat,1990-01-01,26.7,13.4,19.2,26.3,11.9,18.1,0.0,12.9,25.6,73,34,56,1007.5,16.7,3.69
Ahmedabad,ahmedabad,23.0225,72.5714,plains,Gujarat,1990-01-02,26.6,12.4,19.1,25.9,9.8,17.3,0.0,13.7,26.3,67,32,50,1007.4,16.94,4.0
Ahmedabad,ahmedabad,23.0225,72.5714,plains,Gujarat,1990-01-03,27.6,13.7,19.5,28.7,11.4,18.1,0.0,13.9,27.4,63,36,52,1008.3,17.02,3.98
Ahmedabad,ahmedabad,23.0225,72.5714,plains,Gujarat,1990-01-04,28.9,13.4,20.8,29.2,10.9,19.4,0.0,13.5,25.2,67,34,50,1009.5,16.98,4.37
Ahmedabad,ahmedabad,23.0225,72.5714,plains,Gujarat,1990-01-05,29.1,15.6,21.8,30.1,13.3,20.8,0.0,14.8,29.2,70,35,51,1010.2,16.91,4.2
Ahmedabad,ahmedabad,23.0225,72.5714,plains,Gujarat,1990-01-06,29.6,16.0,21.9,30.0,14.3,21.0,0.0,12.1,23.8,65,30,50,1009.9,17.05,4.26
Ahmedabad,ahmedabad,23.0225,72.5714,plains,Gujarat,1990-01-07,28.5,14.0,20.8,28.6,12.6,19.7,0.0,10.3,20.5,71,30,51,1010.5,17.31,4.05
Ahmedabad,ahmedabad,23.0225,72.5714,plains,Gujarat,1990-01-08,28.8,13.5,20.1,28.6,11.8,19.0,0.0,9.7,20.9,68,28,52,1011.0,17.26,3.93
Ahmedabad,ahmedabad,23.0225,72.5714,plains,Gujarat,1990-01-09,28.5,12.8,20.1,29.3,11.1,19.1,0.0,10.7,21.6,71,32,54,1010.4,17.29,3.93
Ahmedabad,ahmedabad,23.0225,72.5714,plains,Gujarat,1990-01-10,29.3,13.0,20.3,29.9,11.4,19.2,0.0,9.4,21.6,69,28,51,1009.7,17.7,3.96
Ahmedabad,ahmedabad,23.0225,72.5714,plains,Gujarat,1990-01-11,29.4,11.8,19.7,29.3,9.7,18.3,0.0,9.8,15.8,72,22,49,1009.8,17.91,3.7
Ahmedabad,ahmedabad,23.0225,72.5714,plains,Gujarat,1990-01-12,30.8,12.0,20.4,32.0,10.1,19.7,0.0,9.6,17.3,71,31,54,1009.0,17.77,3.82
Ahmedabad,ahmedabad,23.0225,72.5714,plains,Gujarat,1990-01-13,29.3,12.1,20.2,29.9,10.6,19.8,0.0,10.0,18.7,81,31,59,1007.7,17.83,3.89
Ahmedabad,ahmedabad,23.0225,72.5714,plains,Gujarat,1990-01-14,28.3,13.4,20.4,28.5,12.3,20.4,0.0,10.2,19.1,84,39,64,1007.3,17.65,3.75
Ahmedabad,ahmedabad,23.0225,72.5714,plains,Gujarat,1990-01-15,28.8,13.9,20.3,29.6,12.9,19.7,0.0,9.9,19.1,81,30,58,1008.2,17.94,3.85
