city,city_key,latitude,longitude,region_type,state,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,surface_pressure_mean,shortwave_radiation_sum,et0_fao_evapotranspiration,tmax_normal,tmax_departure,qualifying_day,heatwave,hw_event_id,hw_event_start,hw_event_end,hw_event_length
Ahmedabad,ahmedabad,23.0225,72.5714,plains,Gujarat,1990-01-01,26.7,13.4,19.2,26.3,11.9,18.1,0.0,12.9,25.6,73,34,56,1007.5,16.7,3.69,27.238774713839753,-0.5387747138397536,0,0,0,,,0
Ahmedabad,ahmedabad,23.0225,72.5714,plains,Gujarat,1990-01-02,26.6,12.4,19.1,25.9,9.8,17.3,0.0,13.7,26.3,67,32,50,1007.4,16.94,4.0,27.177484391259107,-0.5774843912591052,0,0,0,,,0
Ahmedabad,ahmedabad,23.0225,72.5714,plains,Gujarat,1990-01-03,27.6,13.7,19.5,28.7,11.4,18.1,0.0,13.9,27.4,63,36,52,1008.3,17.02,3.98,27.121188865764825,0.4788111342351762,0,0,0,,,0
Ahmedabad,ahmedabad,23.0225,72.5714,plains,Gujarat,1990-01-04,28.9,13.4,20.8,29.2,10.9,19.4,0.0,13.5,25.2,67,34,50,1009.5,16.98,4.37,27.084456295525495,1.8155437044745035,0,0,0,,,0
Ahmedabad,ahmedabad,23.0225,72.5714,plains,Gujarat,1990-01-05,29.1,15.6,21.8,30.1,13.3,20.8,0.0,14.8,29.2,70,35,51,1010.2,16.91,4.2,27.051157648283038,2.0488423517169636,0,0,0,,,0
Ahmedabad,ahmedabad,23.0225,72.5714,plains,Gujarat,1990-01-06,29.6,16.0,21.9,30.0,14.3,21.0,0.0,12.1,23.8,65,30,50,1009.9,17.05,4.26,27.019211758584806,2.5807882414151955,0,0,0,,,0
Ahmedabad,ahmedabad,23.0225,72.5714,plains,Gujarat,1990-01-07,28.5,14.0,20.8,28.6,12.6,19.7,0.0,10.3,20.5,71,30,51,1010.5,17.31,4.05,26.990699791883454,1.5093002081165459,0,0,0,,,0
Ahmedabad,ahmedabad,23.0225,72.5714,plains,Gujarat,1990-01-08,28.8,13.5,20.1,28.6,11.8,19.0,0.0,9.7,20.9,68,28,52,1011.0,17.26,3.93,26.97425858480749,1.8257414151925104,0,0,0,,,0
Ahmedabad,ahmedabad,23.0225,72.5714,plains,Gujarat,1990-01-09,28.5,12.8,20.1,29.3,11.1,19.1,0.0,10.7,21.6,71,32,54,1010.4,17.29,3.93,26.972801768990635,1.5271982310093648,0,0,0,,,0
Ahmedabad,ahmedabad,23.0225,72.5714,plains,Gujarat,1990-01-10,29.3,13.0,20.3,29.9,11.4,19.2,0.0,9.4,21.6,69,28,51,1009.7,17.7,3.96,26.973322060353798,2.3266779396462027,0,0,0,,,0
Ahmedabad,ahmedabad,23.0225,72.5714,plains,Gujarat,1990-01-11,29.4,11.8,19.7,29.3,9.7,18.3,0.0,9.8,15.8,72,22,49,1009.8,17.91,3.7,26.99017950052029,2.4098204994797072,0,0,0,,,0
Ahmedabad,ahmedabad,23.0225,72.5714,plains,Gujarat,1990-01-12,30.8,12.0,20.4,32.0,10.1,19.7,0.0,9.6,17.3,71,31,54,1009.0,17.77,3.82,27.00766129032258,3.79233870967742,0,0,0,,,0
Ahmedabad,ahmedabad,23.0225,72.5714,plains,Gujarat,1990-01-13,29.3,12.1,20.2,29.9,10.6,19.8,0.0,10.0,18.7,81,31,59,1007.7,17.83,3.89,27.024830905306974,2.2751690946930268,0,0,0,,,0
Ahmedabad,ahmedabad,23.0225,72.5714,plains,Gujarat,1990-01-14,28.3,13.4,20.4,28.5,12.3,20.4,0.0,10.2,19.1,84,39,64,1007.3,17.65,3.75,27.058129552549428,1.241870447450573,0,0,0,,,0
Ahmedabad,ahmedabad,23.0225,72.5714,plains,Gujarat,1990-01-15,28.8,13.9,20.3,29.6,12.9,19.7,0.0,9.9,19.1,81,30,58,1008.2,17.94,3.85,27.10297866805411,1.6970213319458907,0,0,0,,,0
Ahmedabad,ahmedabad,23.0225,72.5714,plains,Gujarat,1990-01-16,29.4,12.6,20.3,29.7,11.1,19.4,0.0,9.9,18.4,79,27,54,1008.1,18.18,3.97,27.131217481789804,2.2687825182101946,0,0,0,,,0
Ahmedabad,ahmedabad,23.0225,72.5714,plains,Gujarat,1990-01-17,30.0,13.5,20.8,31.5,12.1,20.0,0.0,11.1,18.7,72,28,53,1007.0,18.32,4.02,27.19271592091571,2.8072840790842903,0,0,0,,,0
Ahmedabad,ahmedabad,23.0225,72.5714,plains,Gujarat,1990-01-18,30.7,12.4,20.7,31.0,10.8,19.6,0.0,10.1,17.6,74,23,51,1007.9,18.49,4.2,27.257127991675336,3.442872008324663,0,0,0,,,0
Ahmedabad,ahmedabad,23.0225,72.5714,plains,Gujarat,1990-01-19,30.6,12.9,21.4,30.4,11.2,20.1,0.0,10.4,18.7,70,23,48,1009.5,18.24,4.37,27.325702393340272,3.2742976066597294,0,0,0,,,0
Ahmedabad,ahmedabad,23.0225,72.5714,plains,Gujarat,1990-01-20,30.9,14.2,21.6,32.2,12.1,20.6,0.0,10.8,22.0,59,27,47,1009.1,18.56,4.44,27.377211238293444,3.522788761706554,0,0,0,,,0
Ahmedabad,ahmedabad,23.0225,72.5714,plains,Gujarat,1990-01-21,30.1,13.3,21.1,31.7,12.1,20.7,0.0,9.9,17.6,78,31,56,1007.9,18.57,4.1,27.422996878251823,2.6770031217481787,0,0,0,,,0
Ahmedabad,ahmedabad,23.0225,72.5714,plains,Gujarat,1990-01-22,30.3,14.2,21.4,30.8,12.8,20.8,0.0,10.0,18.0,73,26,53,1008.0,18.69,4.24,27.470655567117586,2.829344432882415,0,0,0,,,0
Ahmedabad,ahmedabad,23.0225,72.5714,plains,Gujarat,1990-01-23,31.7,14.6,21.8,32.6,13.6,21.2,0.0,9.8,19.1,77,28,53,1008.7,18.64,4.25,27.526014568158168,4.173985431841832,0,0,0,,,0
Ahmedabad,ahmedabad,23.0225,72.5714,plains,Gujarat,1990-01-24,31.6,14.4,21.9,33.2,13.0,21.3,0.0,11.1,21.2,70,24,52,1008.9,18.81,4.27,27.57939646201873,4.02060353798127,0,0,0,,,0
Ahmedabad,ahmedabad,23.0225,72.5714,plains,Gujarat,1990-01-25,31.7,14.2,21.9,32.7,12.8,21.3,0.0,9.9,18.0,71,25,52,1009.1,18.96,4.35,27.629240374609783,4.070759625390217,0,0,0,,,0
Ahmedabad,ahmedabad,23.0225,72.5714,plains,Gujarat,1990-01-26,31.8,13.8,22.1,32.3,12.7,21.7,0.0,10.8,18.4,76,26,53,1008.6,19.04,4.3,27.685848074921957,4.114151925078044,0,0,0,,,0
Ahmedabad,ahmedabad,23.0225,72.5714,plains,Gujarat,1990-01-27,29.4,13.7,21.7,31.0,12.2,21.8,0.0,9.9,23.0,88,37,59,1006.8,18.97,4.16,27.75015608740895,1.6498439125910487,0,0,0,,,0
Ahmedabad,ahmedabad,23.0225,72.5714,plains,Gujarat,1990-01-28,26.9,16.3,20.7,26.0,14.5,19.4,0.0,10.3,22.7,70,25,50,1006.9,18.83,4.37,27.827471383975027,-0.9274713839750284,0,0,0,,,0
Ahmedabad,ahmedabad,23.0225,72.5714,plains,Gujarat,1990-01-29,27.9,14.4,20.2,27.0,12.5,18.6,0.0,10.2,24.1,65,22,45,1008.4,18.85,4.37,27.910718002081165,-0.010718002081166134,0,0,0,,,0
Ahmedabad,ahmedabad,23.0225,72.5714,plains,Gujarat,1990-01-30,29.5,13.5,20.5,29.3,11.0,18.7,0.0,12.7,24.8,60,22,43,1008.8,19.38,4.65,27.990738813735693,1.5092611862643075,0,0,0,,,0
Ahmedabad,ahmedabad,23.0225,72.5714,plains,Gujarat,1990-01-31,28.5,12.9,19.9,26.7,11.8,18.3,0.0,12.5,28.1,79,20,50,1008.6,19.38,4.59,28.06888657648283,0.4311134235171714,0,0,0,,,0
Ahmedabad,ahmedabad,23.0225,72.5714,plains,Gujarat,1990-02-01,26.5,15.4,20.1,25.8,13.5,18.4,0.0,12.0,24.5,61,29,46,1008.6,17.65,4.25,28.157544224765868,-1.6575442247658678,0,0,0,,,0
Ahmedabad,ahmedabad,23.0225,72.5714,plains,Gujarat,1990-02-02,27.2,11.8,19.1,26.6,9.4,17.2,0.0,9.5,24.1,62,26,45,1008.6,19.41,4.38,28.256191467221644,-1.0561914672216446,0,0,0,,,0
Ahmedabad,ahmedabad,23.0225,72.5714,plains,Gujarat,1990-02-03,29.2,12.7,20.0,29.3,10.3,18.1,0.0,13.7,28.8,59,25,44,1009.4,20.01,4.68,28.360978147762747,0.8390218522372521,0,0,0,,,0
