city,city_key,latitude,longitude,region_type,state,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,surface_pressure_mean,shortwave_radiation_sum,et0_fao_evapotranspiration
Lucknow,lucknow,26.8467,80.9462,plains,Uttar Pradesh,1990-01-01,17.8,4.7,10.5,16.1,2.0,8.3,0.0,0.0,10.7,25.9,92,47,76,1001.9,15.68,2.39
Lucknow,lucknow,26.8467,80.9462,plains,Uttar Pradesh,1990-01-02,17.1,5.3,10.1,16.5,2.7,8.3,0.0,0.0,10.0,17.6,95,52,80,1003.0,14.91,2.19
Lucknow,lucknow,26.8467,80.9462,plains,Uttar Pradesh,1990-01-03,19.0,3.9,10.0,17.6,0.9,8.2,0.0,0.0,10.2,20.2,97,43,81,1004.4,15.38,2.31
Lucknow,lucknow,26.8467,80.9462,plains,Uttar Pradesh,1990-01-04,19.4,4.2,11.0,17.7,1.4,9.0,0.0,0.0,12.7,27.0,93,49,77,1004.8,15.69,2.44
Lucknow,lucknow,26.8467,80.9462,plains,Uttar Pradesh,1990-01-05,22.3,7.0,12.9,19.7,4.5,10.9,0.0,0.0,13.7,25.9,88,35,71,1005.2,15.54,2.77
Lucknow,lucknow,26.8467,80.9462,plains,Uttar Pradesh,1990-01-06,22.2,7.9,13.1,20.8,5.7,11.6,0.0,0.0,10.1,21.6,90,42,75,1004.3,15.57,2.57
Lucknow,lucknow,26.8467,80.9462,plains,Uttar Pradesh,1990-01-07,23.5,6.6,14.9,22.3,4.6,13.9,0.0,0.0,10.1,20.9,94,42,71,1004.7,15.58,2.83
Lucknow,lucknow,26.8467,80.9462,plains,Uttar Pradesh,1990-01-08,23.8,10.0,15.8,21.5,8.0,13.8,0.0,0.0,17.8,34.6,88,37,67,1004.4,15.78,3.25
Lucknow,lucknow,26.8467,80.9462,plains,Uttar Pradesh,1990-01-09,20.6,8.8,13.5,17.8,6.3,11.2,0.0,0.0,16.5,32.0,89,42,70,1003.5,16.1,2.83
Lucknow,lucknow,26.8467,80.9462,plains,Uttar Pradesh,1990-01-10,22.2,8.4,14.2,19.5,5.6,11.5,0.0,0.0,18.4,36.7,85,39,64,1001.0,16.07,3.26
