city,city_key,latitude,longitude,region_type,state,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,surface_pressure_mean,shortwave_radiation_sum,et0_fao_evapotranspiration
Mumbai,mumbai,19.076,72.8777,coastal,Maharashtra,1990-01-01,28.6,20.6,23.7,29.1,21.2,24.5,0.0,0.0,14.3,25.6,76,44,64,1011.3,18.16,4.28
Mumbai,mumbai,19.076,72.8777,coastal,Maharashtra,1990-01-02,28.4,19.4,23.2,29.1,18.6,22.9,0.0,0.0,19.1,31.0,70,41,57,1011.1,18.65,4.76
Mumbai,mumbai,19.076,72.8777,coastal,Maharashtra,1990-01-03,29.6,18.6,23.5,31.4,18.3,24.0,0.0,0.0,15.5,27.7,77,41,61,1011.6,18.37,4.42
Mumbai,mumbai,19.076,72.8777,coastal,Maharashtra,1990-01-04,30.5,19.6,25.0,33.0,21.1,27.1,0.0,0.0,14.4,24.5,82,47,68,1013.0,17.67,3.96
Mumbai,mumbai,19.076,72.8777,coastal,Maharashtra,1990-01-05,30.9,21.6,25.8,34.0,23.9,28.0,0.0,0.0,13.6,23.4,85,43,67,1013.9,16.76,4.05
Mumbai,mumbai,19.076,72.8777,coastal,Maharashtra,1990-01-06,30.5,21.5,25.5,33.2,23.2,27.2,0.0,0.0,13.8,23.0,78,43,63,1014.2,17.51,4.28
Mumbai,mumbai,19.076,72.8777,coastal,Maharashtra,1990-01-07,30.5,21.2,25.3,33.3,22.3,26.6,0.0,0.0,17.1,30.6,79,42,63,1013.8,18.3,4.59
Mumbai,mumbai,19.076,72.8777,coastal,Maharashtra,1990-01-08,31.2,20.2,25.4,33.8,20.7,26.2,0.0,0.0,14.1,25.9,75,36,56,1014.0,18.76,4.78
Mumbai,mumbai,19.076,72.8777,coastal,Maharashtra,1990-01-09,31.1,19.9,25.2,33.3,19.8,25.6,0.0,0.0,16.1,27.0,68,36,55,1013.4,18.03,4.83
Mumbai,mumbai,19.076,72.8777,coastal,Maharashtra,1990-01-10,31.3,20.5,25.6,33.8,20.8,26.8,0.0,0.0,15.1,24.5,72,36,57,1012.9,18.64,4.58
Mumbai,mumbai,19.076,72.8777,coastal,Maharashtra,1990-01-11,31.1,20.3,25.5,33.3,21.5,26.6,0.0,0.0,16.0,28.4,81,37,60,1013.4,19.06,4.71
Mumbai,mumbai,19.076,72.8777,coastal,Maharashtra,1990-01-12,31.5,19.3,25.2,33.8,19.7,26.0,0.0,0.0,15.1,26.6,76,33,55,1013.0,19.33,4.68
