city,city_key,latitude,longitude,region_type,state,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,surface_pressure_mean,shortwave_radiation_sum,et0_fao_evapotranspiration
Nagpur,nagpur,21.1458,79.0882,plains,Maharashtra,1990-01-01,25.3,15.6,20.4,26.8,16.3,21.6,0.0,0.0,8.0,18.7,95,51,76,978.1,15.67,2.98
Nagpur,nagpur,21.1458,79.0882,plains,Maharashtra,1990-01-02,25.4,16.5,20.2,26.8,16.3,20.9,0.0,0.0,8.7,22.3,86,53,72,978.2,14.61,2.9
Nagpur,nagpur,21.1458,79.0882,plains,Maharashtra,1990-01-03,26.7,16.9,21.0,28.5,17.8,22.2,2.5,2.5,10.6,23.4,89,54,76,979.7,13.78,2.81
Nagpur,nagpur,21.1458,79.0882,plains,Maharashtra,1990-01-04,27.3,16.6,21.7,29.5,17.1,23.0,0.0,0.0,8.3,19.4,88,52,72,980.9,15.73,3.23
Nagpur,nagpur,21.1458,79.0882,plains,Maharashtra,1990-01-05,27.5,17.9,22.0,29.5,18.4,23.0,0.0,0.0,8.7,20.9,83,47,67,981.8,15.57,3.27
Nagpur,nagpur,21.1458,79.0882,plains,Maharashtra,1990-01-06,27.5,16.4,21.6,29.1,16.7,22.3,0.0,0.0,8.8,20.9,86,44,66,981.5,17.0,3.5
Nagpur,nagpur,21.1458,79.0882,plains,Maharashtra,1990-01-07,28.5,15.8,21.9,29.6,16.0,22.4,0.0,0.0,9.2,20.5,88,38,63,981.3,17.07,3.71
Nagpur,nagpur,21.1458,79.0882,plains,Maharashtra,1990-01-08,29.3,15.2,21.7,30.7,15.1,22.0,0.0,0.0,8.9,20.9,88,37,61,981.5,17.79,3.83
Nagpur,nagpur,21.1458,79.0882,plains,Maharashtra,1990-01-09,29.8,15.5,22.0,31.2,15.3,22.3,0.0,0.0,8.0,15.5,85,32,59,980.7,17.81,3.61
Nagpur,nagpur,21.1458,79.0882,plains,Maharashtra,1990-01-10,29.3,15.4,21.6,28.5,14.9,21.0,0.0,0.0,8.5,22.3,78,28,52,979.9,18.17,4.04
Nagpur,nagpur,21.1458,79.0882,plains,Maharashtra,1990-01-11,29.7,13.4,21.1,29.3,12.3,20.1,0.0,0.0,9.9,20.2,84,24,52,979.8,18.45,4.07
Nagpur,nagpur,21.1458,79.0882,plains,Maharashtra,1990-01-12,30.1,12.3,20.7,29.6,10.4,19.4,0.0,0.0,10.0,15.5,72,20,46,979.4,18.73,3.95
Nagpur,nagpur,21.1458,79.0882,plains,Maharashtra,1990-01-13,31.2,11.6,20.9,31.2,9.8,19.6,0.0,0.0,9.2,15.5,78,17,47,978.0,18.87,4.04
Nagpur,nagpur,21.1458,79.0882,plains,Maharashtra,1990-01-14,31.8,12.2,21.5,30.8,10.6,19.9,0.0,0.0,10.8,23.8,76,19,45,976.7,18.82,4.6
Nagpur,nagpur,21.1458,79.0882,plains,Maharashtra,1990-01-15,30.5,14.4,22.1,30.4,12.3,20.6,0.0,0.0,9.0,23.4,57,22,40,977.9,18.87,4.28
Nagpur,nagpur,21.1458,79.0882,plains,Maharashtra,1990-01-16,28.8,14.1,21.0,28.4,12.6,19.7,0.0,0.0,8.9,22.7,70,24,47,978.5,19.01,4.33
Nagpur,nagpur,21.1458,79.0882,plains,Maharashtra,1990-01-17,29.6,12.4,20.8,29.4,9.9,19.1,0.0,0.0,9.6,20.5,59,20,40,978.0,19.28,4.23
Nagpur,nagpur,21.1458,79.0882,plains,Maharashtra,1990-01-18,31.1,12.0,21.6,30.6,10.2,20.3,0.0,0.0,8.5,16.2,71,20,44,978.1,19.3,4.17
Nagpur,nagpur,21.1458,79.0882,plains,Maharashtra,1990-01-19,32.1,13.7,22.1,30.4,11.0,20.0,0.0,0.0,11.4,22.7,58,15,36,978.5,19.61,4.89
Nagpur,nagpur,21.1458,79.0882,plains,Maharashtra,1990-01-20,32.3,15.2,23.3,32.1,12.8,22.1,0.0,0.0,10.0,20.2,54,24,39,978.1,19.16,4.68
Nagpur,nagpur,21.1458,79.0882,plains,Maharashtra,1990-01-21,30.9,15.8,23.1,32.0,14.9,22.8,0.0,0.0,8.8,22.3,70,29,50,977.6,19.18,4.35
Nagpur,nagpur,21.1458,79.0882,plains,Maharashtra,1990-01-22,30.8,15.3,22.9,30.2,13.9,22.0,0.0,0.0,10.2,25.9,65,22,46,978.3,19.39,4.43
Nagpur,nagpur,21.1458,79.0882,plains,Maharashtra,1990-01-23,31.0,13.6,22.1,31.3,12.2,21.4,0.0,0.0,10.0,20.5,73,25,49,979.3,19.31,4.32
Nagpur,nagpur,21.1458,79.0882,plains,Maharashtra,1990-01-24,31.4,15.1,23.0,31.8,14.1,22.3,0.0,0.0,9.8,19.4,71,24,46,979.4,19.36,4.4
Nagpur,nagpur,21.1458,79.0882,plains,Maharashtra,1990-01-25,30.3,14.7,22.4,30.2,13.3,21.1,0.0,0.0,9.2,23.0,70,20,43,979.7,19.88,4.48
Nagpur,nagpur,21.1458,79.0882,plains,Maharashtra,1990-01-26,30.6,12.7,21.8,30.8,10.7,20.3,0.0,0.0,9.8,21.2,66,20,41,979.6,20.06,4.51
Nagpur,nagpur,21.1458,79.0882,plains,Maharashtra,1990-01-27,31.9,12.5,21.6,32.1,11.0,20.6,0.0,0.0,10.4,17.6,74,22,46,977.9,20.0,4.39
Nagpur,nagpur,21.1458,79.0882,plains,Maharashtra,1990-01-28,32.4,13.1,22.5,31.5,11.3,21.1,0.0,0.0,11.2,27.0,70,20,44,977.1,19.88,4.95
Nagpur,nagpur,21.1458,79.0882,plains,Maharashtra,1990-01-29,32.4,14.8,23.2,32.2,13.3,22.4,0.0,0.0,8.4,18.7,69,23,44,977.8,19.83,4.61
