Model,Feature_Set,Imbalance_Strategy,Strategy_Detail,Threshold,Val_Precision,Val_Recall,Val_F1,Val_PR_AUC,Val_ROC_AUC,Val_TP,Val_FP,Val_TN,Val_FN,Val_Predicted_Pos,Val_Actual_Pos
Logistic_Regression,with_qd,baseline_weight,class_weight=balanced,0.5,0.1689,0.9744,0.2879,0.6356,0.9942,38,187,5254,1,225,39
Logistic_Regression,with_qd,baseline_weight_thresh_opt,threshold optimised to 0.90 (best val-F1),0.9,0.375,0.8462,0.5197,0.6356,0.9942,33,55,5386,6,88,39
Logistic_Regression,without_qd,baseline_weight,class_weight=balanced,0.5,0.1625,1.0,0.2796,0.6216,0.9936,39,201,5240,0,240,39
Logistic_Regression,without_qd,baseline_weight_thresh_opt,threshold optimised to 0.90 (best val-F1),0.9,0.3523,0.7949,0.4882,0.6216,0.9936,31,57,5384,8,88,39
Random_Forest,with_qd,baseline_weight,class_weight=balanced,0.5,0.3505,0.8718,0.5,0.5535,0.9948,34,63,5378,5,97,39
Random_Forest,with_qd,baseline_weight_thresh_opt,threshold optimised to 0.70 (best val-F1),0.7,0.4324,0.8205,0.5664,0.5535,0.9948,32,42,5399,7,74,39
Random_Forest,without_qd,baseline_weight,class_weight=balanced,0.5,0.3301,0.8718,0.4789,0.5325,0.9944,34,69,5372,5,103,39
Random_Forest,without_qd,baseline_weight_thresh_opt,threshold optimised to 0.90 (best val-F1),0.9,0.5366,0.5641,0.55,0.5325,0.9944,22,19,5422,17,41,39
XGBoost,with_qd,baseline_weight,scale_pos_weight=126.89,0.5,0.3974,0.7949,0.5299,0.5668,0.9943,31,47,5394,8,78,39
XGBoost,with_qd,baseline_weight_thresh_opt,threshold optimised to 0.80 (best val-F1),0.8,0.5,0.7436,0.5979,0.5668,0.9943,29,29,5412,10,58,39
XGBoost,without_qd,baseline_weight,scale_pos_weight=126.89,0.5,0.4051,0.8205,0.5424,0.5433,0.994,32,47,5394,7,79,39
XGBoost,without_qd,baseline_weight_thresh_opt,threshold optimised to 0.80 (best val-F1),0.8,0.5179,0.7436,0.6105,0.5433,0.994,29,27,5414,10,56,39
Logistic_Regression,with_qd,strong_weight,"class_weight={0:1,1:254}",0.5,0.1293,0.9744,0.2282,0.6078,0.9935,38,256,5185,1,294,39
