Model,Feature_Set,Strategy,label,precision,recall,f1,pr_auc,roc_auc,tp,fp,tn,fn,predicted_pos,actual_pos,threshold
Logistic_Regression,with_qd,baseline_weight,thresh=0.05,0.0573,1.0,0.1083,0.6356,0.9942,39,642,4799,0,681,39,0.05
Logistic_Regression,with_qd,baseline_weight,thresh=0.10,0.0732,1.0,0.1364,0.6356,0.9942,39,494,4947,0,533,39,0.1
Logistic_Regression,with_qd,baseline_weight,thresh=0.15,0.0882,1.0,0.1622,0.6356,0.9942,39,403,5038,0,442,39,0.15
Logistic_Regression,with_qd,baseline_weight,thresh=0.20,0.1005,1.0,0.1827,0.6356,0.9942,39,349,5092,0,388,39,0.2
Logistic_Regression,with_qd,baseline_weight,thresh=0.25,0.1108,1.0,0.1995,0.6356,0.9942,39,313,5128,0,352,39,0.25
Logistic_Regression,with_qd,baseline_weight,thresh=0.30,0.123,1.0,0.2191,0.6356,0.9942,39,278,5163,0,317,39,0.3
Logistic_Regression,with_qd,baseline_weight,thresh=0.35,0.1322,1.0,0.2335,0.6356,0.9942,39,256,5185,0,295,39,0.35
Logistic_Regression,with_qd,baseline_weight,thresh=0.40,0.15,1.0,0.2609,0.6356,0.9942,39,221,5220,0,260,39,0.4
Logistic_Regression,with_qd,baseline_weight,thresh=0.45,0.1585,1.0,0.2737,0.6356,0.9942,39,207,5234,0,246,39,0.45
Logistic_Regression,with_qd,baseline_weight,thresh=0.50,0.1689,0.9744,0.2879,0.6356,0.9942,38,187,5254,1,225,39,0.5
Logistic_Regression,with_qd,baseline_weight,thresh=0.60,0.2022,0.9487,0.3333,0.6356,0.9942,37,146,5295,2,183,39,0.6
Logistic_Regression,with_qd,baseline_weight,thresh=0.70,0.2338,0.9231,0.3731,0.6356,0.9942,36,118,5323,3,154,39,0.7
Logistic_Regression,with_qd,baseline_weight,thresh=0.80,0.2742,0.8718,0.4172,0.6356,0.9942,34,90,5351,5,124,39,0.8
Logistic_Regression,with_qd,baseline_weight,thresh=0.90,0.375,0.8462,0.5197,0.6356,0.9942,33,55,5386,6,88,39,0.9
Logistic_Regression,without_qd,baseline_weight,thresh=0.05,0.0619,1.0,0.1166,0.6216,0.9936,39,591,4850,0,630,39,0.05
Logistic_Regression,without_qd,baseline_weight,thresh=0.10,0.0785,1.0,0.1455,0.6216,0.9936,39,458,4983,0,497,39,0.1
Logistic_Regression,without_qd,baseline_weight,thresh=0.15,0.0907,1.0,0.1663,0.6216,0.9936,39,391,5050,0,430,39,0.15
Logistic_Regression,without_qd,baseline_weight,thresh=0.20,0.1,1.0,0.1818,0.6216,0.9936,39,351,5090,0,390,39,0.2
Logistic_Regression,without_qd,baseline_weight,thresh=0.25,0.1099,1.0,0.198,0.6216,0.9936,39,316,5125,0,355,39,0.25
Logistic_Regression,without_qd,baseline_weight,thresh=0.30,0.1223,1.0,0.2179,0.6216,0.9936,39,280,5161,0,319,39,0.3
Logistic_Regression,without_qd,baseline_weight,thresh=0.35,0.1331,1.0,0.2349,0.6216,0.9936,39,254,5187,0,293,39,0.35
Logistic_Regression,without_qd,baseline_weight,thresh=0.40,0.1439,1.0,0.2516,0.6216,0.9936,39,232,5209,0,271,39,0.4
Logistic_Regression,without_qd,baseline_weight,thresh=0.45,0.1518,1.0,0.2635,0.6216,0.9936,39,218,5223,0,257,39,0.45
Logistic_Regression,without_qd,baseline_weight,thresh=0.50,0.1625,1.0,0.2796,0.6216,0.9936,39,201,5240,0,240,39,0.5
Logistic_Regression,without_qd,baseline_weight,thresh=0.60,0.1869,0.9487,0.3122,0.6216,0.9936,37,161,5280,2,198,39,0.6
Logistic_Regression,without_qd,baseline_weight,thresh=0.70,0.2327,0.9487,0.3737,0.6216,0.9936,37,122,5319,2,159,39,0.7
Logistic_Regression,without_qd,baseline_weight,thresh=0.80,0.2595,0.8718,0.4,0.6216,0.9936,34,97,5344,5,131,39,0.8
Logistic_Regression,without_qd,baseline_weight,thresh=0.90,0.3523,0.7949,0.4882,0.6216,0.9936,31,57,5384,8,88,39,0.9
Random_Forest,with_qd,baseline_weight,thresh=0.05,0.1466,1.0,0.2557,0.5535,0.9948,39,227,5214,0,266,39,0.05
Random_Forest,with_qd,baseline_weight,thresh=0.10,0.1866,1.0,0.3145,0.5535,0.9948,39,170,5271,0,209,39,0.1
Random_Forest,with_qd,baseline_weight,thresh=0.15,0.2147,0.9744,0.3519,0.5535,0.9948,38,139,5302,1,177,39,0.15
