feature,in_baseline,in_temporal,feature_group,time_reference,dtype,role,leakage_status
city,N/A,N/A,identifier,T,str,identifier,N/A (identifier)
city_key,N/A,N/A,identifier,T,str,identifier,N/A (identifier)
date,N/A,N/A,identifier,T,datetime64[us],identifier,N/A (identifier)
state,N/A,N/A,identifier,T,str,identifier,N/A (identifier)
region_type,N/A,N/A,identifier,T,str,identifier,N/A (identifier)
heatwave,N/A,N/A,identifier,T,int64,identifier,N/A (identifier)
hw_event_id,N/A,N/A,identifier,T,int64,identifier,N/A (identifier)
hw_event_start,N/A,N/A,identifier,T,str,identifier,N/A (identifier)
hw_event_end,N/A,N/A,identifier,T,str,identifier,N/A (identifier)
hw_event_length,N/A,N/A,identifier,T,int64,identifier,N/A (identifier)
apparent_temperature_max,yes,yes,group1_current_weather,T,float64,feature,SAFE (current-day observation)
apparent_temperature_mean,yes,yes,group1_current_weather,T,float64,feature,SAFE (current-day observation)
apparent_temperature_min,yes,yes,group1_current_weather,T,float64,feature,SAFE (current-day observation)
city_encoded,yes,yes,group7_city,T,int64,feature,SAFE (current-day observation)
day_of_year,yes,yes,group6_calendar,T,int64,feature,SAFE (current-day observation)
doy_cos,yes,yes,group6_calendar,T,float64,feature,SAFE (current-day observation)
doy_sin,yes,yes,group6_calendar,T,float64,feature,SAFE (current-day observation)
et0_fao_evapotranspiration,yes,yes,group1_current_weather,T,float64,feature,SAFE (current-day observation)
heatwave_lag1,no,yes,group2_lag,T-1,float64,feature,SAFE (past data)
is_coastal,yes,yes,group7_city,T,int64,feature,SAFE (current-day observation)
latitude,yes,yes,group7_city,T,float64,feature,SAFE (current-day observation)
longitude,yes,yes,group7_city,T,float64,feature,SAFE (current-day observation)
month,yes,yes,group6_calendar,T,int64,feature,SAFE (current-day observation)
month_cos,yes,yes,group6_calendar,T,float64,feature,SAFE (current-day observation)
month_sin,yes,yes,group6_calendar,T,float64,feature,SAFE (current-day observation)
precipitation_sum,yes,yes,group1_current_weather,T,float64,feature,SAFE (current-day observation)
precipitation_sum_lag1,no,yes,group2_lag,T-1,float64,feature,SAFE (past data)
precipitation_sum_lag2,no,yes,group2_lag,T-2,float64,feature,SAFE (past data)
precipitation_sum_lag3,no,yes,group2_lag,T-3,float64,feature,SAFE (past data)
precipitation_sum_lag7,no,yes,group2_lag,T-7,float64,feature,SAFE (past data)
precipitation_sum_roll3_max,no,yes,group3_rolling,T-3 to T-1 (rolling),float64,feature,SAFE (shift(1).rolling)
precipitation_sum_roll3_mean,no,yes,group3_rolling,T-3 to T-1 (rolling),float64,feature,SAFE (shift(1).rolling)
precipitation_sum_roll3_min,no,yes,group3_rolling,T-3 to T-1 (rolling),float64,feature,SAFE (shift(1).rolling)
precipitation_sum_roll7_max,no,yes,group3_rolling,T-7 to T-1 (rolling),float64,feature,SAFE (shift(1).rolling)
